source,dest
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/placements/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/placements/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/placements/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/decision-rules/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/decision-rules/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/decision-rules/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/decision-rules/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/decision-rules/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/decision-rules/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/tags/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/tags/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/tags/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/tags/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/tags/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/tags/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/tags/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/tags/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/tags/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/tags/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/personalized-offers/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/personalized-offers/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/personalized-offers/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/personalized-offers/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/personalized-offers/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/personalized-offers/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/personalized-offers/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/personalized-offers/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/personalized-offers/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/personalized-offers/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/collections/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/collections/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/collections/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/collections/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/collections/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/collections/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/collections/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/collections/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/collections/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/collections/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/fallback-offers/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/fallback-offers/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/fallback-offers/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/fallback-offers/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/fallback-offers/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/fallback-offers/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/fallback-offers/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/fallback-offers/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offers-api/fallback-offers/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offers-api/fallback-offers/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/activities-api/list.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/activities-api/list.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/activities-api/lookup.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/activities-api/lookup.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/activities-api/create.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/activities-api/create.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/activities-api/update.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/activities-api/update.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/activities-api/delete.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/activities-api/delete.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offer-delivery/deliver-offers.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offer-delivery/deliver-offers.html
https://experienceleague.adobe.com/docs/offer-decisioning/using/api-reference/offer-delivery/web-sdk.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/api-reference/offer-delivery/web-sdk.html
